dataset,arch,config_id,config_label,is_quantized,size_mb,compression_ratio,n_params,latency_ms,acc_clean,top5_clean,ece_clean,mce,mce_noise,mce_blur,mce_weather,mce_digital,acc_gaussian_noise_s1,drop_gaussian_noise_s1,ece_gaussian_noise_s1,acc_gaussian_noise_s2,drop_gaussian_noise_s2,ece_gaussian_noise_s2,acc_gaussian_noise_s3,drop_gaussian_noise_s3,ece_gaussian_noise_s3,acc_gaussian_noise_s4,drop_gaussian_noise_s4,ece_gaussian_noise_s4,acc_gaussian_noise_s5,drop_gaussian_noise_s5,ece_gaussian_noise_s5,acc_shot_noise_s1,drop_shot_noise_s1,ece_shot_noise_s1,acc_shot_noise_s2,drop_shot_noise_s2,ece_shot_noise_s2,acc_shot_noise_s3,drop_shot_noise_s3,ece_shot_noise_s3,acc_shot_noise_s4,drop_shot_noise_s4,ece_shot_noise_s4,acc_shot_noise_s5,drop_shot_noise_s5,ece_shot_noise_s5,acc_impulse_noise_s1,drop_impulse_noise_s1,ece_impulse_noise_s1,acc_impulse_noise_s2,drop_impulse_noise_s2,ece_impulse_noise_s2,acc_impulse_noise_s3,drop_impulse_noise_s3,ece_impulse_noise_s3,acc_impulse_noise_s4,drop_impulse_noise_s4,ece_impulse_noise_s4,acc_impulse_noise_s5,drop_impulse_noise_s5,ece_impulse_noise_s5,acc_defocus_blur_s1,drop_defocus_blur_s1,ece_defocus_blur_s1,acc_defocus_blur_s2,drop_defocus_blur_s2,ece_defocus_blur_s2,acc_defocus_blur_s3,drop_defocus_blur_s3,ece_defocus_blur_s3,acc_defocus_blur_s4,drop_defocus_blur_s4,ece_defocus_blur_s4,acc_defocus_blur_s5,drop_defocus_blur_s5,ece_defocus_blur_s5,acc_glass_blur_s1,drop_glass_blur_s1,ece_glass_blur_s1,acc_glass_blur_s2,drop_glass_blur_s2,ece_glass_blur_s2,acc_glass_blur_s3,drop_glass_blur_s3,ece_glass_blur_s3,acc_glass_blur_s4,drop_glass_blur_s4,ece_glass_blur_s4,acc_glass_blur_s5,drop_glass_blur_s5,ece_glass_blur_s5,acc_motion_blur_s1,drop_motion_blur_s1,ece_motion_blur_s1,acc_motion_blur_s2,drop_motion_blur_s2,ece_motion_blur_s2,acc_motion_blur_s3,drop_motion_blur_s3,ece_motion_blur_s3,acc_motion_blur_s4,drop_motion_blur_s4,ece_motion_blur_s4,acc_motion_blur_s5,drop_motion_blur_s5,ece_motion_blur_s5,acc_zoom_blur_s1,drop_zoom_blur_s1,ece_zoom_blur_s1,acc_zoom_blur_s2,drop_zoom_blur_s2,ece_zoom_blur_s2,acc_zoom_blur_s3,drop_zoom_blur_s3,ece_zoom_blur_s3,acc_zoom_blur_s4,drop_zoom_blur_s4,ece_zoom_blur_s4,acc_zoom_blur_s5,drop_zoom_blur_s5,ece_zoom_blur_s5,acc_snow_s1,drop_snow_s1,ece_snow_s1,acc_snow_s2,drop_snow_s2,ece_snow_s2,acc_snow_s3,drop_snow_s3,ece_snow_s3,acc_snow_s4,drop_snow_s4,ece_snow_s4,acc_snow_s5,drop_snow_s5,ece_snow_s5,acc_frost_s1,drop_frost_s1,ece_frost_s1,acc_frost_s2,drop_frost_s2,ece_frost_s2,acc_frost_s3,drop_frost_s3,ece_frost_s3,acc_frost_s4,drop_frost_s4,ece_frost_s4,acc_frost_s5,drop_frost_s5,ece_frost_s5,acc_fog_s1,drop_fog_s1,ece_fog_s1,acc_fog_s2,drop_fog_s2,ece_fog_s2,acc_fog_s3,drop_fog_s3,ece_fog_s3,acc_fog_s4,drop_fog_s4,ece_fog_s4,acc_fog_s5,drop_fog_s5,ece_fog_s5,acc_brightness_s1,drop_brightness_s1,ece_brightness_s1,acc_brightness_s2,drop_brightness_s2,ece_brightness_s2,acc_brightness_s3,drop_brightness_s3,ece_brightness_s3,acc_brightness_s4,drop_brightness_s4,ece_brightness_s4,acc_brightness_s5,drop_brightness_s5,ece_brightness_s5,acc_contrast_s1,drop_contrast_s1,ece_contrast_s1,acc_contrast_s2,drop_contrast_s2,ece_contrast_s2,acc_contrast_s3,drop_contrast_s3,ece_contrast_s3,acc_contrast_s4,drop_contrast_s4,ece_contrast_s4,acc_contrast_s5,drop_contrast_s5,ece_contrast_s5,acc_elastic_transform_s1,drop_elastic_transform_s1,ece_elastic_transform_s1,acc_elastic_transform_s2,drop_elastic_transform_s2,ece_elastic_transform_s2,acc_elastic_transform_s3,drop_elastic_transform_s3,ece_elastic_transform_s3,acc_elastic_transform_s4,drop_elastic_transform_s4,ece_elastic_transform_s4,acc_elastic_transform_s5,drop_elastic_transform_s5,ece_elastic_transform_s5,acc_pixelate_s1,drop_pixelate_s1,ece_pixelate_s1,acc_pixelate_s2,drop_pixelate_s2,ece_pixelate_s2,acc_pixelate_s3,drop_pixelate_s3,ece_pixelate_s3,acc_pixelate_s4,drop_pixelate_s4,ece_pixelate_s4,acc_pixelate_s5,drop_pixelate_s5,ece_pixelate_s5,acc_jpeg_compression_s1,drop_jpeg_compression_s1,ece_jpeg_compression_s1,acc_jpeg_compression_s2,drop_jpeg_compression_s2,ece_jpeg_compression_s2,acc_jpeg_compression_s3,drop_jpeg_compression_s3,ece_jpeg_compression_s3,acc_jpeg_compression_s4,drop_jpeg_compression_s4,ece_jpeg_compression_s4,acc_jpeg_compression_s5,drop_jpeg_compression_s5,ece_jpeg_compression_s5
cifar10,resnet20,baseline,baseline,False,1.139,1,272474,20.593,92.01,99.76,0.07053,100,100,100,100,100,78.38,13.63,0.03108,61.29,30.72,0.09187,44.5,47.51,0.23304,36.65,55.36,0.31229,31.16,60.85,0.37219,84.57,7.44,0.04719,76.68,15.33,0.03245,57.21,34.8,0.12896,49.55,42.46,0.19194,37.69,54.32,0.30702,87.88,4.13,0.05652,83.13,8.88,0.04426,75.79,16.22,0.02622,57.23,34.78,0.10314,37.45,54.56,0.26972,91.77,0.24,0.06883,90.93,1.08,0.06764,88.66,3.35,0.06259,85.22,6.79,0.05568,75.56,16.45,0.02744,51.4,40.61,0.13809,53.7,38.31,0.1175,55.86,36.15,0.1059,41.35,50.66,0.20674,43.87,48.14,0.18598,87.42,4.59,0.05958,81.14,10.87,0.036,74.42,17.59,0.02604,74.05,17.96,0.02885,68.53,23.48,0.03891,87.32,4.69,0.06231,86.6,5.41,0.06022,84.08,7.93,0.05352,81.31,10.7,0.04586,76.11,15.9,0.02765,87.32,4.69,0.05551,76.11,15.9,0.02374,79.17,12.84,0.02511,75.97,16.04,0.02254,71.9,20.11,0.03278,87.59,4.42,0.05927,82.36,9.65,0.03593,73.02,18.99,0.03698,71.04,20.97,0.0405,60.19,31.82,0.09875,91.85,0.16,0.06995,91.44,0.57,0.06922,90.48,1.53,0.06698,88.69,3.32,0.06212,78.65,13.36,0.03329,91.86,0.15,0.06906,91.73,0.28,0.06932,91.45,0.56,0.0695,90.95,1.06,0.06759,89.92,2.09,0.06621,91.61,0.4,0.06867,90.18,1.83,0.06201,89.14,2.87,0.05915,87.05,4.96,0.05151,77.97,14.04,0.03214,86.75,5.26,0.06112,87.44,4.57,0.06363,85.47,6.54,0.06175,76.93,15.08,0.03651,68.72,23.29,0.01921,89.24,2.77,0.06326,84.13,7.88,0.04912,77.64,14.37,0.02968,55.25,36.76,0.15942,39.98,52.03,0.2658,84.34,7.67,0.04243,79.8,12.21,0.02871,78.31,13.7,0.02681,76.34,15.67,0.02039,72.83,19.18,0.02134
cifar10,resnet20,pruning,pruning,False,1.138,1.001,272474,16.624,91.92,99.74,0.06874,98.254,96.22,99.281,97.697,99.311,78.89,13.03,0.03189,63.18,28.74,0.07676,46,45.92,0.21475,38.66,53.26,0.28698,33.09,58.83,0.3471,84.73,7.19,0.05008,78.02,13.9,0.03238,58.68,33.24,0.11633,51.16,40.76,0.17655,39.39,52.53,0.28742,88.09,3.83,0.05576,83.5,8.42,0.0437,77.37,14.55,0.02099,60.21,31.71,0.08119,40.15,51.77,0.23954,91.87,0.05,0.06877,91.2,0.72,0.06994,88.83,3.09,0.06324,85.44,6.48,0.05585,75.84,16.08,0.0282,52.72,39.2,0.12575,54.64,37.28,0.11117,57.55,34.37,0.09304,41.87,50.05,0.20348,44.53,47.39,0.18031,87.38,4.54,0.05868,81.38,10.54,0.03556,73.99,17.93,0.03004,73.7,18.22,0.03266,67.89,24.03,0.04292,87.41,4.51,0.06165,86.4,5.52,0.0577,83.94,7.98,0.05228,81.49,10.43,0.04237,76.51,15.41,0.02618,87.67,4.25,0.05533,77.49,14.43,0.02047,79.88,12.04,0.02807,76.84,15.08,0.02474,73.32,18.6,0.02871,88.17,3.75,0.06173,83.26,8.66,0.03931,73.94,17.98,0.03729,72,19.92,0.03924,61.81,30.11,0.08805,91.89,0.03,0.06866,91.63,0.29,0.06901,90.59,1.33,0.06614,88.79,3.13,0.06203,78.12,13.8,0.02422,92,-0.08,0.06922,91.82,0.1,0.06882,91.47,0.45,0.06765,91.11,0.81,0.0671,89.99,1.93,0.065,91.59,0.33,0.06639,90.4,1.52,0.06148,89.63,2.29,0.06052,87.65,4.27,0.05465,79.41,12.51,0.03465,87.39,4.53,0.06541,87.7,4.22,0.06539,85.38,6.54,0.0598,77.14,14.78,0.03247,68.55,23.37,0.02354,89.06,2.86,0.06229,82.96,8.96,0.04269,76.28,15.64,0.03693,54.14,37.78,0.16929,39.62,52.3,0.26344,84.63,7.29,0.04704,79.93,11.99,0.0325,78.47,13.45,0.02967,76.3,15.62,0.02063,72.63,19.29,0.01659
cifar10,resnet20,ptq,ptq,True,0.334,3.408,nan,3.074,10.09,50,0.89515,458.755,232.285,439.514,637.286,469.316,10.03,0.06,0.89655,10,0.09,0.89865,10,0.09,0.89955,10,0.09,0.89985,10,0.09,0.9,10.04,0.05,0.8955,10.01,0.08,0.8972,10.03,0.06,0.899,10,0.09,0.8994,10,0.09,0.89975,10.01,0.08,0.8985,10,0.09,0.8992,10,0.09,0.8997,10,0.09,0.89985,10,0.09,0.9,10.11,-0.02,0.8927,10.25,-0.16,0.88775,10.45,-0.36,0.88185,10.56,-0.47,0.8745,10.99,-0.9,0.8482,10,0.09,0.89645,10.01,0.08,0.89575,10.02,0.07,0.892,10,0.09,0.897,10.01,0.08,0.8927,10.21,-0.12,0.88885,10.35,-0.26,0.8823,10.41,-0.32,0.87415,10.49,-0.4,0.8739,10.56,-0.47,0.86243,10.3,-0.21,0.8877,10.37,-0.28,0.88475,10.41,-0.32,0.8817,10.39,-0.3,0.87965,10.53,-0.44,0.87645,10.01,0.08,0.89875,10,0.09,0.89925,10.01,0.08,0.89875,10,0.09,0.8983,10.03,0.06,0.8979,10.04,0.05,0.89465,10.05,0.04,0.8943,10.04,0.05,0.89525,10.06,0.03,0.895,10.02,0.07,0.8943,10.1,-0.01,0.8939,10.15,-0.06,0.8887,10.38,-0.29,0.88295,10.38,-0.29,0.8776,10.45,-0.36,0.8603,10.1,-0.01,0.8942,10.12,-0.03,0.8942,10.13,-0.04,0.89325,10.15,-0.06,0.89235,10.16,-0.07,0.89125,10.14,-0.05,0.89095,10.39,-0.3,0.8792,10.53,-0.44,0.86875,10.85,-0.76,0.8476,12.19,-2.1,0.78425,10.23,-0.14,0.8885,10.28,-0.19,0.88575,10.33,-0.24,0.8836,10.21,-0.12,0.88935,10.07,0.02,0.8917,10.11,-0.02,0.89155,10.16,-0.07,0.8853,10.23,-0.14,0.8818,10.11,-0.02,0.8706,9.96,0.13,0.8623,10.13,-0.04,0.8942,10.07,0.02,0.89405,10.08,0.01,0.89365,10.1,-0.01,0.89305,10.12,-0.03,0.89365
cifar10,resnet20,qat,qat,True,0.334,3.408,nan,1.756,50.07,87.2,0.47963,329.689,188.384,332.874,424.977,337.195,38.43,11.64,0.59056,27.82,22.25,0.69623,20.74,29.33,0.76833,18.43,31.64,0.79111,16.87,33.2,0.81024,43.92,6.15,0.53693,35.95,14.12,0.61782,24.84,25.23,0.72571,22.24,27.83,0.75397,18.72,31.35,0.79032,39.58,10.49,0.58033,32.78,17.29,0.64606,26.96,23.11,0.70168,19.42,30.65,0.77827,15.87,34.2,0.81586,48.13,1.94,0.49824,42.67,7.4,0.5513,35.76,14.31,0.61453,30.38,19.69,0.66942,26.08,23.99,0.71073,19.03,31.04,0.78616,19.56,30.51,0.77904,23.47,26.6,0.73945,16.44,33.63,0.81281,19.09,30.98,0.78427,39.2,10.87,0.58229,33.77,16.3,0.63294,30.3,19.77,0.66765,30.4,19.67,0.66708,28.24,21.83,0.68562,35.49,14.58,0.61972,32.85,17.22,0.6464,30.26,19.81,0.67444,28.51,21.56,0.68904,25.76,24.31,0.71589,41.17,8.9,0.56724,30.03,20.04,0.67739,34.56,15.51,0.63158,33.91,16.16,0.63651,31.02,19.05,0.66689,43.5,6.57,0.54285,37.05,13.02,0.60869,31.28,18.79,0.66273,29.88,20.19,0.67676,25.73,24.34,0.71838,47.6,2.47,0.50137,42.57,7.5,0.54897,38.32,11.75,0.58837,34.1,15.97,0.62798,25.59,24.48,0.7077,49.01,1.06,0.49032,48.69,1.38,0.49171,47.21,2.86,0.50676,45.98,4.09,0.51805,42.19,7.88,0.5559,45.97,4.1,0.51692,35.91,14.16,0.61418,29.93,20.14,0.67509,23.82,26.25,0.73671,18.14,31.93,0.79301,39.83,10.24,0.5784,38.62,11.45,0.58883,35.52,14.55,0.61888,30.72,19.35,0.66713,28.57,21.5,0.68761,47.96,2.11,0.49622,46.87,3.2,0.5076,45.38,4.69,0.5218,40.65,9.42,0.56634,29.36,20.71,0.68334,43.98,6.09,0.53502,40.89,9.18,0.56688,40.36,9.71,0.57068,39.21,10.86,0.58073,37.85,12.22,0.59164
cifar10,resnet20,pruning_qat,pruning_qat,True,0.341,3.343,nan,221.976,47.99,88.57,0.49929,336.921,190.351,344.802,432.388,343.499,38.1,9.89,0.59062,28.81,19.18,0.68012,20.36,27.63,0.76967,18.1,29.89,0.79212,16.07,31.92,0.81383,42.68,5.31,0.54835,37.12,10.87,0.60131,25.38,22.61,0.71751,21.98,26.01,0.7527,18.23,29.76,0.79294,38.05,9.94,0.5945,31.24,16.75,0.65882,25.34,22.65,0.71782,17.01,30.98,0.80098,14.39,33.6,0.83145,46.08,1.91,0.51552,39.98,8.01,0.57472,32.99,15,0.64036,27.53,20.46,0.69495,22.29,25.7,0.74466,17.5,30.49,0.80519,18.38,29.61,0.794,21.6,26.39,0.75908,16.32,31.67,0.81659,17.98,30.01,0.79728,36.6,11.39,0.60501,31.42,16.57,0.65447,27.57,20.42,0.69445,27.93,20.06,0.68866,25.14,22.85,0.71612,32.76,15.23,0.64549,30.45,17.54,0.66883,27.98,20.01,0.6909,26.36,21.63,0.70661,24.33,23.66,0.7277,38.92,9.07,0.58928,30.87,17.12,0.66708,35.17,12.82,0.62535,34.04,13.95,0.63505,32.67,15.32,0.64777,42.66,5.33,0.54827,37.19,10.8,0.60373,32.02,15.97,0.65306,31.05,16.94,0.66108,26.45,21.54,0.70764,45.03,2.96,0.52544,40.69,7.3,0.56342,36.16,11.83,0.60664,32.48,15.51,0.63893,25.03,22.96,0.70922,47.33,0.66,0.50466,46.78,1.21,0.50914,45.62,2.37,0.5222,44.25,3.74,0.53345,41.54,6.45,0.56075,43.74,4.25,0.53655,34.39,13.6,0.624,29.78,18.21,0.66792,24.33,23.66,0.72112,16.25,31.74,0.80215,37.8,10.19,0.59649,36.49,11.5,0.60745,33.31,14.68,0.63743,28.95,19.04,0.67993,26.8,21.19,0.70172,46.54,1.45,0.5104,44.75,3.24,0.52584,44.73,3.26,0.52598,39.38,8.61,0.57912,30.73,17.26,0.66699,42.85,5.14,0.54513,40.65,7.34,0.56653,39.64,8.35,0.57364,38.33,9.66,0.59023,36.65,11.34,0.60413
cifar10,resnet20,pruning_kd,pruning_kd,False,1.14,0.999,272474,12.786,92.22,99.84,0.07029,96.35,94.496,96.95,96.475,97.016,79.68,12.54,0.03634,64.04,28.18,0.0634,47.64,44.58,0.19512,39.56,52.66,0.2692,33.23,58.99,0.33476,85.59,6.63,0.05278,78.87,13.35,0.03094,59.85,32.37,0.10053,51.97,40.25,0.16092,39.98,52.24,0.26935,88.47,3.75,0.06008,83.86,8.36,0.04771,77.89,14.33,0.02828,60.46,31.76,0.07593,40.58,51.64,0.2301,91.98,0.24,0.06821,91.12,1.1,0.06702,88.86,3.36,0.06223,85.67,6.55,0.05629,76.76,15.46,0.03059,53.35,38.87,0.11927,54.8,37.42,0.10792,57.21,35.01,0.0934,42.74,49.48,0.19281,45.25,46.97,0.17258,88.16,4.06,0.06266,81.52,10.7,0.03426,74.82,17.4,0.03284,74.85,17.37,0.02618,68.99,23.23,0.03665,87.96,4.26,0.0646,87.07,5.15,0.0617,84.6,7.62,0.0553,81.98,10.24,0.04603,76.88,15.34,0.03398,87.6,4.62,0.05285,77.59,14.63,0.02122,80.38,11.84,0.0321,76.81,15.41,0.02676,72.72,19.5,0.0352,88.25,3.97,0.06009,83.54,8.68,0.0426,74.15,18.07,0.03582,72.2,20.02,0.0366,62.1,30.12,0.08094,91.9,0.32,0.06927,91.69,0.53,0.06877,90.75,1.47,0.06599,88.98,3.24,0.06171,78.96,13.26,0.02868,92.26,-0.04,0.07069,92.01,0.21,0.06991,91.71,0.51,0.06979,91.3,0.92,0.06891,89.99,2.23,0.06491,92,0.22,0.06966,90.42,1.8,0.062,89.49,2.73,0.06009,87.88,4.34,0.0575,78.23,13.99,0.03001,87.31,4.91,0.06301,87.83,4.39,0.06423,85.79,6.43,0.06189,78.23,13.99,0.03939,69.47,22.75,0.02315,89.83,2.39,0.06635,84.3,7.92,0.05053,77.95,14.27,0.03292,55.17,37.05,0.15799,40.53,51.69,0.25993,84.97,7.25,0.04555,80.99,11.23,0.03729,79.29,12.93,0.03421,77.1,15.12,0.02434,73.82,18.4,0.02441
cifar10,resnet20,quant_int8,quant_int8,True,0.341,3.344,nan,140.987,10.07,50,0.89555,458.735,232.284,439.553,637.264,469.225,10.02,0.05,0.8967,10.01,0.06,0.8987,10,0.07,0.89955,10,0.07,0.9,10,0.07,0.8999,10.06,0.01,0.8963,10,0.07,0.8972,10.01,0.06,0.8987,10,0.07,0.8994,10,0.07,0.89985,10.02,0.05,0.8978,10,0.07,0.8989,10,0.07,0.8995,10,0.07,0.89995,10,0.07,0.9,10.11,-0.04,0.89325,10.24,-0.17,0.88855,10.37,-0.3,0.881,10.47,-0.4,0.87475,11.13,-1.06,0.84825,10,0.07,0.89585,10.02,0.05,0.89585,10.04,0.03,0.8915,10.01,0.06,0.8964,10,0.07,0.89235,10.2,-0.13,0.88845,10.22,-0.15,0.883,10.51,-0.44,0.87168,10.47,-0.4,0.87275,10.55,-0.48,0.8601,10.25,-0.18,0.8872,10.39,-0.32,0.8844,10.37,-0.3,0.88085,10.4,-0.33,0.88055,10.55,-0.48,0.87523,10.02,0.05,0.8982,10,0.07,0.8991,10.01,0.06,0.8986,10.01,0.06,0.89855,10.05,0.02,0.8977,10.06,0.01,0.89415,10.08,-0.01,0.8947,10.03,0.04,0.895,10.06,0.01,0.8945,10.01,0.06,0.89545,10.13,-0.06,0.89215,10.21,-0.14,0.88825,10.29,-0.22,0.88285,10.4,-0.33,0.8759,10.54,-0.47,0.8583,10.1,-0.03,0.894,10.08,-0.01,0.8941,10.12,-0.05,0.8939,10.16,-0.09,0.89215,10.13,-0.06,0.89205,10.13,-0.06,0.8905,10.43,-0.36,0.8793,10.51,-0.44,0.86865,10.9,-0.83,0.84635,12.41,-2.34,0.77513,10.27,-0.2,0.88735,10.26,-0.19,0.88645,10.3,-0.23,0.8829,10.16,-0.09,0.8897,10.07,0,0.8926,10.11,-0.04,0.89105,10.18,-0.11,0.88515,10.2,-0.13,0.88135,10.2,-0.13,0.87325,10.05,0.02,0.8609,10.11,-0.04,0.89415,10.07,0,0.89435,10.05,0.02,0.89495,10.06,0.01,0.8935,10.08,-0.01,0.8943
cifar10,resnet20,sparsity,sparsity,False,1.14,0.999,272474,282.15,91.88,99.79,0.06791,98.842,95.928,100.139,98.541,100.03,78.91,12.97,0.03203,63.25,28.63,0.0763,46.36,45.52,0.21158,38.14,53.74,0.29135,33.2,58.68,0.34392,84.94,6.94,0.04806,78.14,13.74,0.03072,59,32.88,0.11281,51.3,40.58,0.17501,39.61,52.27,0.28277,88.06,3.82,0.056,83.49,8.39,0.04356,77.41,14.47,0.02248,60.29,31.59,0.0789,40.61,51.27,0.23038,91.93,-0.05,0.06777,91.18,0.7,0.06724,89.08,2.8,0.06363,85.31,6.57,0.05327,75.55,16.33,0.02814,51.4,40.48,0.13913,53.61,38.27,0.12077,56.23,35.65,0.1042,40.87,51.01,0.21347,43.94,47.94,0.18651,87.47,4.41,0.05743,81.19,10.69,0.03232,73.87,18.01,0.02924,73.42,18.46,0.03457,67.09,24.79,0.04728,87.52,4.36,0.06172,86.62,5.26,0.05818,84.04,7.84,0.0519,81.3,10.58,0.04171,76.24,15.64,0.02795,87.4,4.48,0.05367,76.73,15.15,0.01902,79.53,12.35,0.02545,76.46,15.42,0.02314,72.96,18.92,0.02486,88.19,3.69,0.06009,83.1,8.78,0.03789,74.08,17.8,0.0381,72.12,19.76,0.03989,62.2,29.68,0.0864,91.78,0.1,0.06639,91.43,0.45,0.06609,90.4,1.48,0.06353,88.72,3.16,0.05941,77.79,14.09,0.02313,91.91,-0.03,0.06658,91.79,0.09,0.06696,91.39,0.49,0.06519,90.97,0.91,0.0644,90.19,1.69,0.06508,91.66,0.22,0.06623,90.31,1.57,0.05903,89.04,2.84,0.05624,87.27,4.61,0.0483,79.28,12.6,0.03143,87.17,4.71,0.06189,87.56,4.32,0.06134,85.25,6.63,0.05508,77.14,14.74,0.03035,69.13,22.75,0.02274,88.95,2.93,0.06095,82.75,9.13,0.04117,75.75,16.13,0.03856,52.97,38.91,0.18575,39.52,52.36,0.27661,84.95,6.93,0.04578,79.74,12.14,0.02783,78.28,13.6,0.02389,76.48,15.4,0.0201,72.68,19.2,0.01952
cifar10,resnet20,sparsity_quant_int8,sparsity_quant_int8,True,0.342,3.329,nan,4.812,10,50,0.89918,459.864,232.304,440.788,638.262,471.212,10,0,0.8998,10,0,0.8999,10,0,0.9,10,0,0.9,10,0,0.9,10,0,0.8996,10,0,0.8997,10,0,0.8999,10,0,0.9,10,0,0.89995,10,0,0.89985,10,0,0.89995,10,0,0.9,10,0,0.9,10,0,0.9,10.01,-0.01,0.89868,10.02,-0.02,0.89578,10.05,-0.05,0.89062,10.16,-0.16,0.88088,10.58,-0.58,0.84767,10,0,0.89945,10,0,0.8996,10,0,0.89925,10,0,0.89975,10,0,0.89965,10.04,-0.04,0.89678,10.07,-0.07,0.89475,10.08,-0.08,0.89101,10.1,-0.1,0.89028,10.22,-0.22,0.88648,10.05,-0.05,0.89173,10.07,-0.07,0.88747,10.12,-0.12,0.88313,10.19,-0.19,0.87751,10.31,-0.31,0.86573,10,0,0.8997,10,0,0.8999,10,0,0.89995,10,0,0.89985,10,0,0.89973,10,0,0.89943,10,0,0.89953,10,0,0.89953,10,0,0.89948,10,0,0.8997,10,0,0.8989,10,0,0.89862,10,0,0.89688,10.01,-0.01,0.8957,10.09,-0.09,0.89033,10.01,-0.01,0.8991,10,0,0.89903,10.01,-0.01,0.89908,10.01,-0.01,0.89885,10.02,-0.02,0.89872,10.01,-0.01,0.89848,10.03,-0.03,0.89713,10.08,-0.08,0.89532,10.07,-0.07,0.89268,10.25,-0.25,0.88367,10.03,-0.03,0.89562,10.03,-0.03,0.89558,10,0,0.8945,10.03,-0.03,0.89472,10.01,-0.01,0.89847,10.01,-0.01,0.89893,10.02,-0.02,0.89868,10.01,-0.01,0.89798,10,0,0.8963,10.01,-0.01,0.8969,10.01,-0.01,0.89913,10,0,0.89893,10.01,-0.01,0.89893,9.99,0.01,0.89888,10,0,0.89885
cifar10,resnet20,clustering,clustering,False,1.14,0.999,272474,206.601,85.81,99.43,0.07538,160.025,87.118,191.343,167.439,175.972,79.37,6.44,0.07483,69.35,16.46,0.03741,58.98,26.83,0.02827,53.35,32.46,0.04894,48.7,37.11,0.06824,82.85,2.96,0.07764,78.48,7.33,0.06812,67.77,18.04,0.03659,62.49,23.32,0.02977,54.31,31.5,0.04243,80.67,5.14,0.05528,75.77,10.04,0.03968,70.21,15.6,0.01853,58.9,26.91,0.02669,47.47,38.34,0.07389,84.21,1.6,0.0704,80.24,5.57,0.05535,73.25,12.56,0.02599,64.16,21.65,0.03493,47.58,38.23,0.14497,41.45,44.36,0.19777,41.12,44.69,0.21086,44.11,41.7,0.18079,30.68,55.13,0.30369,33.97,51.84,0.26479,73.84,11.97,0.02723,62.94,22.87,0.04261,52.95,32.86,0.10612,52.78,33.03,0.10847,45.04,40.77,0.16655,70.81,15,0.02099,66.93,18.88,0.02791,60.86,24.95,0.06505,55.07,30.74,0.10832,46.51,39.3,0.18271,78.34,7.47,0.0396,68.43,17.38,0.02064,68.96,16.85,0.018,66.68,19.13,0.02022,65.06,20.75,0.03222,81.23,4.58,0.06846,75.34,10.47,0.04946,65.63,20.18,0.0295,64.5,21.31,0.02361,55.49,30.32,0.0517,84.42,1.39,0.07171,81.41,4.4,0.06085,78.25,7.56,0.04914,73.81,12,0.03163,60.34,25.47,0.03613,85.12,0.69,0.07202,84.2,1.61,0.0692,83.06,2.75,0.06355,81.84,3.97,0.05861,78.36,7.45,0.04341,83.62,2.19,0.06662,78.09,7.72,0.0423,73.12,12.69,0.02096,64.47,21.34,0.03531,30.33,55.48,0.3181,73.56,12.25,0.03271,73.62,12.19,0.03189,67.89,17.92,0.0193,57.78,28.03,0.07158,51.07,34.74,0.11324,82.58,3.23,0.06814,76.72,9.09,0.04438,71.06,14.75,0.03552,51.22,34.59,0.1576,35.18,50.63,0.30722,79.65,6.16,0.06413,73.25,12.56,0.04058,70.94,14.87,0.03019,68.08,17.73,0.02041,64.19,21.62,0.02084
